CATEGORIE;DATE;QUART;PDQ;LAT;LONG
Introduction;2018-03-28;nuit;31;45.5463481101997;-73.6035460564931
Introduction;2018-03-28;jour;31;45.5459754124608;-73.6291847465566
Méfait;2018-03-28;nuit;31;45.535735852173;-73.6204374823157
Vol dans / sur véhicule à moteur;2018-03-28;jour;31;45.5435059391976;-73.6400416033223
Méfait;2018-03-28;soir;35;45.5386075264032;-73.6057059826373
Introduction;2018-03-28;jour;38;45.5207409388259;-73.5758720107522
Vol dans / sur véhicule à moteur;2018-03-28;soir;38;45.5055503826639;-73.5729572766557
Introduction;2018-03-28;jour;39;45.6194165195902;-73.6202632842355
Introduction;2018-03-28;jour;39;45.5965065171191;-73.6317243189822
Vol dans / sur véhicule à moteur;2018-03-28;jour;39;45.6149702596654;-73.6112307301328
Vol dans / sur véhicule à moteur;2018-03-28;soir;42;45.572122596432;-73.5937555107441
Introduction;2018-03-28;nuit;44;45.54738556943;-73.5881775297542
Vols qualifiés;2018-03-28;soir;44;45.5532910486132;-73.5803421493543
Vol dans / sur véhicule à moteur;2018-03-28;soir;45;45.6169342164969;-73.5939804124454
Vol de véhicule à moteur;2018-03-28;nuit;48;45.5853070180952;-73.5368860036792
Vol dans / sur véhicule à moteur;2018-03-28;jour;49;45.6354678714311;-73.495210268707
Vol dans / sur véhicule à moteur;2018-03-27;jour;1;45.4467768192306;-73.8529851148733
Vol dans / sur véhicule à moteur;2018-03-27;soir;3;45.5040817393347;-73.781789863246
Méfait;2018-03-27;jour;5;45.4562394884345;-73.7472848607821
Vol de véhicule à moteur;2018-03-27;soir;7;45.5198474372909;-73.6795832482553
Méfait;2018-03-27;jour;8;45.4449634891574;-73.672910091021
Vol dans / sur véhicule à moteur;2018-03-27;jour;8;45.4419744912267;-73.6738900251138
Vol de véhicule à moteur;2018-03-27;nuit;8;45.4624288279614;-73.7156828574838
Vol dans / sur véhicule à moteur;2018-03-27;jour;10;45.5343629297643;-73.6607285278716
Vols qualifiés;2018-03-27;nuit;10;45.5382920235275;-73.6988637401181
Vols qualifiés;2018-03-27;soir;10;45.533348360504;-73.7176769427268
Méfait;2018-03-27;jour;11;45.4691577604194;-73.6499672551538
Vols qualifiés;2018-03-27;nuit;11;45.4721370422418;-73.6471290957736
Introduction;2018-03-27;nuit;13;45.4303035908826;-73.5981552067809
Introduction;2018-03-27;nuit;13;45.4179300380875;-73.6177669164889
Méfait;2018-03-27;soir;16;45.4653153316848;-73.5765754294844
Vol dans / sur véhicule à moteur;2018-03-27;nuit;20;45.4958292996862;-73.5770452514589
Vol dans / sur véhicule à moteur;2018-03-27;soir;20;45.5009375750978;-73.570748435775
Méfait;2018-03-27;jour;21;45.5068013397909;-73.566507285228
Vol dans / sur véhicule à moteur;2018-03-27;jour;21;45.5098706673471;-73.5638225691963
Vol dans / sur véhicule à moteur;2018-03-27;soir;21;45.5061990813526;-73.5556216666139
Introduction;2018-03-27;jour;23;45.5525127853902;-73.5397939779321
Introduction;2018-03-27;nuit;23;45.5511057953094;-73.5407092558286
Vol de véhicule à moteur;2018-03-27;soir;23;45.5559042187588;-73.5503518562359
Méfait;2018-03-27;jour;27;45.5503066806674;-73.6708169826646
Vol de véhicule à moteur;2018-03-27;nuit;27;45.5561358823097;-73.656708191681
Méfait;2018-03-27;jour;30;45.5761590787999;-73.6097020049327
Introduction;2018-03-27;jour;31;45.542274378389;-73.6185691177004
Introduction;2018-03-27;jour;35;45.539733928662;-73.5878582388589
